Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Lausanne 25;1000;25;125;Lausanne;5586;VD;100 %;2541996.000;1156755.000;fr;2008-07-01
Lausanne 26;1000;26;126;Lausanne;5586;VD;100 %;2543045.000;1156192.000;fr;2008-07-01
Lausanne 27;1000;27;127;Lausanne;5586;VD;100 %;2541942.000;1154815.000;fr;2008-07-01
Lausanne;1003;00;150;Lausanne;5586;VD;100 %;2538094.000;1152460.000;fr;2008-07-01
Lausanne;1004;00;151;Lausanne;5586;VD;100 %;2537088.000;1153328.000;fr;2008-07-01
Lausanne;1005;00;152;Lausanne;5586;VD;100 %;2538929.000;1152487.000;fr;2008-07-01
Lausanne;1006;00;153;Lausanne;5586;VD;100 %;2538230.000;1151602.000;fr;2008-07-01
Lausanne;1007;00;154;Lausanne;5586;VD;100 %;2536687.000;1152178.000;fr;2008-07-01
Prilly;1008;00;156;Prilly;5589;VD;100 %;2536013.000;1154279.000;fr;2008-07-01
Jouxtens-Mézery;1008;02;5852;Jouxtens-Mézery;5585;VD;100 %;2535311.000;1155710.000;fr;2008-07-01
Pully;1009;00;157;Pully;5590;VD;100 %;2540301.000;1151542.000;fr;2008-07-01
Lausanne;1010;00;158;Lausanne;5586;VD;100 %;2539688.000;1154318.000;fr;2008-07-01
Lausanne;1011;00;159;Lausanne;5586;VD;100 %;2539025.000;1152991.000;fr;2008-07-01
Lausanne;1012;00;160;Lausanne;5586;VD;100 %;2539850.000;1153099.000;fr;2008-07-01
Lausanne;1015;00;163;Ecublens (VD);5635;VD;84.138 %;2533090.000;1152408.000;fr;2008-07-01
Lausanne;1015;00;163;Saint-Sulpice (VD);5648;VD;8.276 %;2534463.000;1152369.000;fr;2008-07-01
Lausanne;1015;00;163;Chavannes-près-Renens;5627;VD;7.586 %;2534446.000;1152760.000;fr;2008-07-01
Lausanne;1018;00;164;Lausanne;5586;VD;100 %;2537927.000;1154077.000;fr;2008-07-01
Renens VD;1020;00;165;Renens (VD);5591;VD;100 %;2534857.000;1154420.000;fr;2008-07-01
Chavannes-près-Renens;1022;00;168;Chavannes-près-Renens;5627;VD;100 %;2533762.000;1153767.000;fr;2008-07-01
Crissier;1023;00;169;Crissier;5583;VD;99.149 %;2533965.000;1156159.000;fr;2008-07-01
Crissier;1023;00;169;Lausanne;5586;VD;0.851 %;2534893.000;1156767.000;fr;2008-07-01
Ecublens VD;1024;00;170;Ecublens (VD);5635;VD;100 %;2532574.000;1153012.000;fr;2008-07-01
St-Sulpice VD;1025;00;171;Saint-Sulpice (VD);5648;VD;100 %;2532756.000;1151656.000;fr;2008-07-01
Denges;1026;02;5854;Denges;5632;VD;100 %;2531016.000;1152540.000;fr;2008-07-01
Echandens;1026;03;6230;Echandens;5633;VD;100 %;2531210.000;1154206.000;fr;2008-07-01
Lonay;1027;00;174;Lonay;5638;VD;100 %;2529446.000;1153217.000;fr;2008-07-01
Préverenges;1028;00;175;Préverenges;5643;VD;100 %;2530177.000;1152033.000;fr;2008-07-01
Villars-Ste-Croix;1029;00;5616;Villars-Sainte-Croix;5651;VD;100 %;2532910.000;1157712.000;fr;2008-07-01
Bussigny;1030;00;178;Bussigny;5624;VD;100 %;2532240.000;1155984.000;fr;2014-05-01
Mex VD;1031;00;5614;Mex (VD);5489;VD;98.529 %;2532735.000;1158780.000;fr;2008-07-01
Mex VD;1031;00;5614;Vufflens-la-Ville;5503;VD;1.471 %;2531914.000;1157535.000;fr;2008-07-01
Romanel-sur-Lausanne;1032;00;179;Romanel-sur-Lausanne;5592;VD;80.876 %;2535995.000;1157192.000;fr;2008-07-01
Romanel-sur-Lausanne;1032;00;179;Lausanne;5586;VD;19.124 %;2536570.964;1158065.883;fr;2008-07-01
Cheseaux-sur-Lausanne;1033;00;180;Cheseaux-sur-Lausanne;5582;VD;92.498 %;2536118.000;1159682.000;fr;2008-07-01
Cheseaux-sur-Lausanne;1033;00;180;Lausanne;5586;VD;6.65 %;2536380.000;1158973.000;fr;2008-07-01
Cheseaux-sur-Lausanne;1033;00;180;Crissier;5583;VD;0.853 %;2534691.000;1158349.000;fr;2008-07-01
Boussens;1034;00;205;Boussens;5473;VD;100 %;2534550.000;1161688.000;fr;2008-07-01
Bournens;1035;00;206;Bournens;5472;VD;100 %;2532895.000;1161782.000;fr;2008-07-01
Sullens;1036;00;207;Sullens;5501;VD;100 %;2533170.000;1160470.000;fr;2008-07-01
Etagnières;1037;00;182;Etagnières;5521;VD;100 %;2536744.000;1161356.000;fr;2008-07-01
Bercher;1038;00;183;Bercher;5512;VD;99.015 %;2544129.000;1171373.000;fr;2008-07-01
Bercher;1038;00;183;Montanaire;5693;VD;0.657 %;2544886.000;1171866.000;fr;2008-07-01
Bercher;1038;00;183;Boulens;5661;VD;0.328 %;2544857.000;1171832.000;fr;2008-07-01
Echallens;1040;00;185;Echallens;5518;VD;100 %;2538456.000;1165849.000;fr;2008-07-01
Villars-le-Terroir;1040;02;194;Villars-le-Terroir;5537;VD;100 %;2538798.000;1167465.000;fr;2008-07-01
St-Barthélemy VD;1040;03;191;Saint-Barthélemy (VD);5535;VD;100 %;2535935.000;1165324.000;fr;2008-07-01
Dommartin;1041;21;196;Montilliez;5540;VD;100 %;2543556.000;1166645.000;fr;2008-07-01
Montaubion-Chardonney;1041;22;5858;Jorat-Menthue;5804;VD;100 %;2544374.000;1166340.000;fr;2008-07-01
Naz;1041;26;5847;Montilliez;5540;VD;100 %;2543124.000;1167706.000;fr;2008-07-01
Poliez-le-Grand;1041;31;199;Montilliez;5540;VD;100 %;2540681.000;1165397.000;fr;2008-07-01
Poliez-Pittet;1041;32;200;Poliez-Pittet;5533;VD;100 %;2542142.000;1164350.000;fr;2008-07-01
