su-d-01.02.03.07;Ständige Wohnbevölkerung nach Postleitzahl, Staatsangehörigkeitskategorie, Geschlecht, Fünfjahresaltersklasse und Zivilstand, am 31.12.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Postleitzahl;;Staatsangehörigkeitskategorie;;Geschlecht;;Fünfjahresklasse;;;;;;;;;;;;;;;;;;;Zivilstand 1;;;;;;
;Total;Schweiz;Ausland;Mann;Frau;0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90 und mehr;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;In eingetrage-ner Partner-schaft;Aufgelöste Partnerschaft
Schweiz;9 051 029;6 571 141;2 479 888;4 500 389;4 550 640; 421 651; 461 285; 460 240; 455 758; 472 631; 563 599; 643 504; 663 674; 651 727; 610 693; 619 133; 655 573; 602 308; 481 049; 403 066; 361 709; 269 901; 159 312; 94 216;4 197 332;3 622 769; 402 978; 811 757;  773; 10 458; 4 196
1000; 4 405; 2 532; 1 873; 2 211; 2 194;  172;  256;  204;  477;  757;  252;  244;  272;  312;  293;  258;  254;  177;  152;  109;  92;  68;  45;  11; 2 713; 1 365;  80;  238;  0;  6;  2
1003; 6 840; 3 508; 3 332; 3 545; 3 295;  269;  196;  171;  261;  438;  967;  977;  703;  543;  495;  508;  357;  264;  197;  176;  145;  93;  47;  33; 4 470; 1 620;  164;  544;  1;  33;  8
1004; 31 356; 17 963; 13 393; 15 421; 15 935; 1 294; 1 193; 1 186; 1 364; 2 065; 3 557; 3 515; 2 830; 2 313; 2 125; 1 893; 1 755; 1 545; 1 195;  952;  886;  789;  535;  364; 18 414; 8 630; 1 179; 3 021;  6;  58;  39
1005; 12 394; 7 281; 5 113; 5 995; 6 399;  526;  484;  481;  575;  740; 1 292; 1 386; 1 218; 1 038;  875;  852;  703;  568;  399;  363;  338;  268;  171;  117; 7 606; 3 355;  318; 1 071;  2;  23;  17
1006; 15 507; 9 462; 6 045; 7 435; 8 072;  658;  661;  663;  702;  891; 1 318; 1 685; 1 475; 1 206; 1 125; 1 005;  899;  747;  604;  535;  489;  407;  244;  193; 9 037; 4 411;  553; 1 453;  1;  33;  18
1007; 22 819; 12 581; 10 238; 11 099; 11 720; 1 077; 1 075; 1 017; 1 206; 1 781; 1 952; 2 253; 2 037; 1 803; 1 545; 1 422; 1 273; 1 137;  899;  717;  650;  489;  282;  204; 12 986; 6 759;  767; 2 227;  4;  57;  15
1008; 14 211; 8 345; 5 866; 6 979; 7 232;  625;  681;  679;  750;  937; 1 163; 1 161; 1 021; 1 049; 1 013;  940;  923;  758;  590;  514;  503;  468;  287;  149; 7 129; 5 155;  572; 1 327;  1;  12;  11
1009; 19 407; 13 055; 6 352; 9 141; 10 266;  917;  990; 1 021; 1 134;  900;  997; 1 233; 1 407; 1 464; 1 402; 1 367; 1 202; 1 174;  879;  793;  878;  815;  505;  329; 9 252; 7 193;  967; 1 932;  1;  42;  15
1010; 15 619; 8 758; 6 861; 7 597; 8 022;  930; 1 010;  961;  973; 1 053; 1 256; 1 310; 1 335; 1 203; 1 000;  953;  901;  765;  540;  422;  341;  294;  197;  175; 8 602; 5 202;  493; 1 299;  2;  11;  8
1011;  38;  12;  26;  14;  24;  0;  0;  0;  2;  16;  14;  4;  2;  0;  0;  0;  0;  0;  0;  0;  0;  0;  0;  0;  37;  0;  0;  1;  0;  0;  0
1012; 12 067; 7 751; 4 316; 5 695; 6 372;  522;  553;  589;  647;  708;  926; 1 010;  952;  882;  860;  852;  698;  629;  539;  434;  429;  374;  256;  207; 6 536; 3 790;  540; 1 167;  2;  20;  9
1018; 23 237; 12 687; 10 550; 11 173; 12 064; 1 305; 1 381; 1 311; 1 338; 1 422; 1 889; 1 934; 1 823; 1 743; 1 659; 1 521; 1 451; 1 175;  832;  675;  669;  514;  344;  251; 12 364; 7 544;  858; 2 412;  4;  35;  19
1020; 21 541; 10 645; 10 896; 10 994; 10 547;  965; 1 024; 1 049; 1 318; 1 849; 2 033; 1 741; 1 562; 1 406; 1 460; 1 438; 1 357; 1 216;  816;  677;  666;  464;  295;  205; 11 105; 7 752;  771; 1 874;  2;  22;  13
1022; 9 774; 4 221; 5 553; 5 135; 4 639;  446;  483;  454;  968; 1 413; 1 044;  858;  650;  654;  576;  479;  454;  342;  248;  218;  215;  164;  70;  38; 5 845; 3 068;  217;  638;  0;  2;  2
1023; 10 696; 5 923; 4 773; 5 508; 5 188;  568;  537;  510;  658;  897; 1 078;  976;  826;  731;  664;  676;  645;  563;  425;  293;  268;  210;  109;  62; 5 588; 3 942;  300;  855;  0;  5;  5
1024; 13 364; 6 989; 6 375; 6 887; 6 477;  601;  610;  638;  975; 1 570; 1 123;  914;  896;  821;  828;  801;  761;  711;  535;  488;  425;  350;  182;  135; 6 985; 4 779;  492; 1 094;  3;  7;  3
1025; 5 155; 2 731; 2 424; 2 698; 2 457;  237;  264;  233;  394;  592;  345;  334;  365;  385;  356;  311;  249;  224;  190;  190;  183;  174;  83;  46; 2 767; 1 822;  172;  384;  0;  8;  2
1026; 4 829; 3 217; 1 612; 2 447; 2 382;  219;  196;  205;  346;  513;  335;  333;  289;  284;  311;  343;  336;  258;  222;  181;  190;  140;  75;  53; 2 387; 1 847;  216;  374;  0;  4;  1
1027; 2 734; 2 156;  578; 1 307; 1 427;  100;  129;  131;  167;  153;  176;  173;  162;  178;  168;  187;  218;  180;  142;  105;  105;  92;  85;  83; 1 191; 1 155;  174;  209;  1;  4;  0
1028; 5 260; 3 572; 1 688; 2 573; 2 687;  228;  245;  297;  362;  301;  302;  335;  358;  361;  386;  423;  379;  283;  248;  199;  227;  198;  84;  44; 2 472; 2 042;  223;  518;  0;  5;  0
1029;  953;  716;  237;  473;  480;  42;  60;  51;  45;  52;  58;  47;  65;  64;  80;  82;  78;  57;  54;  39;  41;  24;  6;  8;  426;  417;  31;  77;  0;  2;  0
1030; 11 632; 6 963; 4 669; 5 836; 5 796;  729;  692;  619;  594;  663; 1 112; 1 156;  966;  865;  809;  703;  678;  584;  421;  325;  345;  214;  101;  56; 6 040; 4 299;  330;  948;  1;  10;  3
1031;  807;  594;  213;  398;  409;  49;  47;  34;  41;  25;  41;  79;  58;  66;  57;  57;  48;  47;  39;  41;  37;  23;  12;  6;  375;  342;  24;  64;  0;  2;  0
1032; 4 608; 3 300; 1 308; 2 271; 2 337;  290;  237;  219;  231;  283;  352;  420;  386;  262;  303;  321;  276;  261;  191;  171;  204;  107;  55;  39; 2 273; 1 766;  166;  398;  0;  3;  2
1033; 5 054; 3 799; 1 255; 2 476; 2 578;  251;  239;  271;  274;  293;  323;  354;  356;  396;  364;  374;  319;  319;  244;  207;  200;  150;  72;  48; 2 464; 1 923;  181;  477;  0;  8;  1
1034; 1 006;  853;  153;  486;  520;  45;  82;  72;  63;  49;  40;  52;  85;  83;  62;  85;  75;  74;  52;  32;  33;  16;  5;  1;  489;  424;  29;  63;  0;  0;  1
1035;  531;  417;  114;  269;  262;  42;  26;  28;  40;  24;  31;  37;  54;  41;  33;  43;  29;  30;  19;  18;  16;  11;  9;  0;  264;  207;  19;  41;  0;  0;  0
1036; 1 226;  962;  264;  626;  600;  79;  85;  68;  61;  41;  68;  111;  112;  77;  91;  80;  87;  68;  62;  40;  40;  33;  16;  7;  596;  493;  44;  93;  0;  0;  0
1037; 1 191;  930;  261;  594;  597;  66;  48;  70;  86;  79;  56;  79;  84;  69;  103;  99;  90;  79;  56;  42;  33;  27;  20;  5;  567;  488;  34;  96;  0;  6;  0
1038; 1 346; 1 107;  239;  665;  681;  60;  76;  96;  89;  88;  89;  64;  97;  70;  85;  112;  109;  88;  67;  53;  41;  33;  17;  12;  643;  514;  52;  135;  0;  2;  0
1040; 8 861; 6 898; 1 963; 4 354; 4 507;  488;  536;  497;  531;  593;  597;  595;  674;  592;  613;  616;  625;  521;  386;  314;  301;  212;  116;  54; 4 214; 3 571;  360;  712;  0;  1;  2
1041; 3 718; 3 100;  618; 1 848; 1 870;  210;  221;  260;  201;  207;  180;  244;  310;  293;  246;  270;  302;  211;  183;  138;  102;  86;  34;  20; 1 801; 1 486;  117;  306;  0;  6;  2
1042; 2 356; 1 967;  389; 1 217; 1 139;  128;  146;  142;  115;  112;  138;  202;  178;  200;  170;  186;  175;  148;  99;  76;  67;  46;  18;  10; 1 127;  926;  73;  222;  0;  8;  0
1043;  437;  397;  40;  220;  217;  19;  16;  20;  34;  37;  27;  35;  30;  16;  47;  32;  32;  20;  17;  20;  14;  13;  6;  2;  218;  164;  13;  42;  0;  0;  0
1044;  789;  706;  83;  409;  380;  37;  55;  53;  56;  52;  34;  40;  46;  69;  68;  63;  64;  44;  27;  27;  23;  19;  8;  4;  369;  331;  21;  66;  1;  0;  1
1045;  346;  305;  41;  165;  181;  22;  33;  25;  15;  21;  7;  21;  24;  27;  24;  29;  15;  21;  25;  19;  7;  2;  2;  7;  167;  135;  13;  31;  0;  0;  0
1046;  304;  260;  44;  152;  152;  18;  16;  16;  18;  27;  24;  10;  15;  24;  20;  24;  21;  11;  16;  16;  11;  9;  6;  2;  135;  130;  9;  30;  0;  0;  0
1047;  202;  158;  44;  106;  96;  7;  11;  14;  10;  11;  6;  16;  9;  13;  15;  15;  19;  15;  16;  9;  8;  3;  3;  2;  91;  87;  9;  15;  0;  0;  0
1052; 9 531; 6 847; 2 684; 4 775; 4 756;  520;  657;  651;  578;  516;  537;  649;  733;  814;  735;  679;  574;  476;  329;  301;  281;  247;  146;  108; 4 734; 3 787;  319;  668;  1;  9;  13
1053; 3 800; 2 939;  861; 1 870; 1 930;  176;  224;  241;  269;  235;  219;  209;  241;  265;  291;  298;  304;  227;  159;  123;  149;  90;  55;  25; 1 806; 1 501;  135;  347;  1;  6;  1
1054; 1 155;  950;  205;  579;  576;  52;  101;  57;  59;  57;  48;  74;  99;  83;  79;  67;  86;  77;  48;  50;  58;  27;  25;  8;  528;  484;  47;  94;  0;  2;  0
1055; 2 729; 2 240;  489; 1 387; 1 342;  144;  172;  190;  193;  139;  126;  190;  191;  188;  216;  211;  187;  162;  123;  111;  90;  52;  27;  17; 1 335; 1 075;  89;  221;  2;  6;  1
1058;  455;  381;  74;  226;  229;  21;  17;  27;  30;  21;  32;  27;  30;  21;  37;  40;  36;  28;  16;  20;  19;  25;  8;  0;  212;  184;  13;  45;  0;  0;  1
1059;  438;  366;  72;  231;  207;  29;  20;  23;  25;  19;  24;  35;  35;  30;  36;  27;  31;  29;  28;  13;  17;  8;  4;  5;  221;  166;  17;  34;  0;  0;  0
1061;  261;  222;  39;  132;  129;  9;  16;  14;  17;  4;  12;  23;  19;  26;  10;  19;  26;  23;  21;  10;  5;  4;  1;  2;  116;  111;  13;  21;  0;  0;  0
1062;  355;  306;  49;  179;  176;  24;  34;  19;  24;  26;  22;  21;  19;  31;  23;  29;  19;  16;  11;  13;  10;  10;  3;  1;  187;  150;  6;  12;  0;  0;  0
1063; 1 205; 1 057;  148;  607;  598;  69;  83;  87;  73;  57;  57;  96;  107;  93;  62;  88;  67;  77;  72;  36;  39;  20;  12;  10;  626;  441;  46;  92;  0;  0;  0
1066; 9 905; 6 899; 3 006; 4 755; 5 150;  445;  551;  561;  645;  886;  540;  608;  648;  670;  721;  658;  610;  597;  479;  351;  369;  276;  182;  108; 4 869; 3 910;  401;  713;  1;  7;  2
1068;  119;  103;  16;  65;  54;  11;  8;  2;  11;  3;  6;  10;  14;  10;  7;  4;  9;  3;  5;  5;  6;  3;  1;  1;  66;  38;  6;  9;  0;  0;  0
1070; 2 894; 1 986;  908; 1 473; 1 421;  130;  139;  164;  178;  187;  153;  205;  228;  228;  227;  234;  235;  166;  124;  104;  96;  50;  25;  21; 1 397; 1 143;  94;  257;  1;  2;  0
1071; 2 977; 2 314;  663; 1 405; 1 572;  120;  134;  149;  171;  166;  124;  194;  215;  204;  211;  225;  227;  176;  133;  129;  116;  123;  85;  75; 1 437; 1 028;  188;  321;  0;  2;  1
1072; 2 066; 1 655;  411; 1 026; 1 040;  114;  113;  124;  106;  97;  83;  122;  173;  139;  151;  156;  162;  149;  104;  85;  92;  60;  28;  8;  954;  838;  76;  191;  0;  4;  3
1073; 3 513; 2 758;  755; 1 763; 1 750;  177;  203;  205;  187;  188;  151;  202;  262;  247;  240;  273;  237;  241;  199;  176;  145;  99;  48;  33; 1 638; 1 456;  138;  279;  0;  0;  2
1076;  384;  338;  46;  184;  200;  23;  20;  22;  20;  22;  16;  26;  26;  23;  27;  24;  34;  27;  20;  22;  14;  13;  3;  2;  183;  144;  17;  40;  0;  0;  0
1077; 1 337; 1 067;  270;  675;  662;  65;  101;  75;  92;  66;  60;  79;  91;  105;  111;  90;  115;  76;  57;  61;  51;  27;  10;  5;  652;  545;  43;  94;  0;  2;  1
1078;  381;  299;  82;  191;  190;  17;  18;  20;  24;  18;  20;  29;  26;  34;  24;  30;  28;  27;  23;  15;  13;  12;  3;  0;  188;  159;  8;  25;  0;  0;  1
1080;  896;  784;  112;  439;  457;  43;  67;  56;  42;  47;  30;  47;  67;  62;  85;  64;  62;  62;  49;  36;  29;  25;  16;  7;  416;  380;  30;  68;  0;  2;  0
1081;  656;  496;  160;  331;  325;  34;  34;  25;  54;  59;  32;  40;  43;  45;  55;  45;  57;  48;  33;  18;  15;  10;  5;  4;  328;  252;  20;  54;  0;  2;  0
1082;  494;  410;  84;  243;  251;  24;  27;  27;  28;  23;  36;  33;  37;  32;  24;  31;  33;  46;  31;  20;  21;  11;  7;  3;  243;  191;  19;  41;  0;  0;  0
1083; 1 317; 1 114;  203;  611;  706;  62;  49;  77;  80;  68;  69;  66;  89;  99;  91;  119;  76;  77;  69;  84;  72;  35;  21;  14;  602;  504;  84;  123;  0;  3;  1
1084; 1 490; 1 215;  275;  741;  749;  69;  108;  103;  109;  90;  106;  82;  109;  123;  119;  103;  95;  84;  74;  44;  30;  21;  14;  7;  742;  579;  49;  118;  0;  2;  0
1085;  627;  553;  74;  321;  306;  43;  43;  35;  33;  33;  38;  56;  61;  46;  44;  29;  30;  42;  36;  20;  15;  13;  4;  6;  319;  230;  27;  50;  0;  1;  0
1088;  530;  406;  124;  278;  252;  30;  42;  34;  18;  23;  35;  43;  54;  47;  36;  22;  39;  19;  29;  22;  18;  12;  6;  1;  273;  209;  12;  35;  0;  0;  0
1090; 1 614; 1 109;  505;  825;  789;  73;  87;  101;  109;  80;  63;  86;  116;  129;  132;  146;  147;  107;  66;  62;  49;  39;  15;  7;  734;  716;  49;  108;  0;  6;  1
1091; 2 915; 2 321;  594; 1 456; 1 459;  113;  125;  141;  172;  133;  146;  166;  177;  200;  229;  230;  240;  226;  166;  155;  141;  101;  39;  15; 1 319; 1 240;  99;  244;  0;  9;  4
1092; 3 916; 2 923;  993; 1 950; 1 966;  185;  240;  235;  259;  240;  180;  219;  275;  275;  327;  290;  311;  253;  201;  123;  127;  91;  60;  25; 1 878; 1 573;  110;  347;  0;  6;  2
1093; 3 024; 2 130;  894; 1 461; 1 563;  143;  176;  144;  148;  151;  148;  185;  242;  227;  180;  215;  216;  191;  166;  149;  131;  123;  49;  40; 1 413; 1 235;  128;  240;  0;  5;  3
1094; 1 508;  997;  511;  736;  772;  74;  78;  71;  65;  51;  95;  114;  123;  125;  95;  114;  89;  95;  49;  91;  81;  54;  29;  15;  710;  596;  65;  135;  0;  1;  1
1095; 6 126; 4 624; 1 502; 2 927; 3 199;  254;  299;  304;  286;  299;  268;  362;  385;  392;  399;  422;  448;  441;  316;  314;  337;  263;  192;  145; 2 755; 2 323;  390;  633;  1;  22;  2
1096; 1 956; 1 525;  431;  953; 1 003;  104;  101;  95;  106;  98;  91;  150;  125;  126;  147;  111;  124;  127;  119;  91;  95;  76;  37;  33;  928;  736;  98;  191;  1;  2;  0
1097;  320;  253;  67;  170;  150;  13;  16;  23;  17;  15;  12;  16;  24;  26;  32;  18;  27;  23;  13;  14;  15;  7;  8;  1;  146;  137;  13;  23;  0;  0;  1
1098;  342;  247;  95;  182;  160;  17;  8;  16;  17;  19;  12;  31;  30;  23;  20;  24;  31;  23;  28;  11;  7;  7;  15;  3;  149;  151;  11;  29;  0;  2;  0
1110; 17 701; 11 027; 6 674; 8 524; 9 177;  909;  808;  780;  838;  842; 1 473; 1 706; 1 523; 1 229; 1 163; 1 119; 1 089;  948;  670;  622;  709;  638;  370;  265; 8 694; 6 380;  862; 1 729;  3;  11;  15
1112; 1 564; 1 232;  332;  699;  865;  97;  115;  99;  64;  60;  60;  93;  128;  107;  103;  95;  100;  84;  72;  72;  51;  45;  53;  66;  707;  619;  113;  121;  0;  4;  0
1113;  625;  497;  128;  313;  312;  37;  31;  42;  46;  41;  40;  30;  51;  31;  56;  66;  44;  49;  21;  8;  14;  10;  2;  6;  314;  256;  15;  40;  0;  0;  0
1114;  571;  477;  94;  308;  263;  17;  34;  38;  33;  36;  22;  34;  36;  38;  38;  47;  39;  43;  29;  29;  28;  15;  13;  2;  265;  250;  15;  41;  0;  0;  0
1115;  547;  442;  105;  279;  268;  29;  27;  35;  28;  25;  18;  40;  41;  48;  37;  30;  44;  41;  39;  20;  24;  11;  4;  6;  260;  212;  20;  53;  0;  0;  0
1116;  469;  406;  63;  241;  228;  29;  21;  33;  34;  19;  25;  30;  35;  35;  30;  35;  25;  25;  26;  15;  27;  15;  8;  2;  222;  206;  13;  26;  0;  2;  0
1117;  538;  449;  89;  262;  276;  42;  37;  29;  29;  30;  27;  41;  44;  39;  38;  34;  33;  37;  26;  16;  14;  14;  6;  2;  283;  199;  12;  44;  0;  0;  0
1121;  614;  537;  77;  310;  304;  29;  31;  44;  42;  37;  29;  29;  47;  49;  48;  55;  42;  39;  24;  32;  14;  10;  7;  6;  287;  263;  15;  48;  0;  0;  1
1122;  454;  380;  74;  228;  226;  26;  13;  13;  23;  29;  29;  40;  31;  17;  27;  43;  38;  36;  30;  26;  7;  17;  6;  3;  210;  190;  18;  36;  0;  0;  0
1123;  585;  440;  145;  310;  275;  39;  31;  36;  25;  34;  36;  48;  53;  41;  48;  28;  45;  37;  25;  21;  18;  9;  9;  2;  284;  238;  12;  49;  0;  0;  2
1124; 1 066;  864;  202;  524;  542;  66;  68;  64;  45;  40;  54;  86;  89;  85;  69;  86;  71;  84;  42;  41;  37;  30;  7;  2;  506;  424;  36;  96;  0;  4;  0
1125;  462;  361;  101;  217;  245;  30;  21;  26;  29;  23;  20;  31;  25;  44;  24;  33;  41;  36;  31;  12;  8;  16;  6;  6;  217;  197;  13;  35;  0;  0;  0
1126;  185;  153;  32;  96;  89;  8;  12;  9;  12;  16;  11;  11;  9;  9;  10;  7;  16;  14;  9;  8;  11;  9;  4;  0;  84;  76;  8;  16;  0;  0;  1
1127;  228;  178;  50;  109;  119;  13;  14;  11;  15;  10;  15;  15;  21;  18;  21;  22;  10;  11;  9;  10;  5;  1;  4;  3;  120;  74;  7;  25;  0;  0;  0
1128;  429;  364;  65;  211;  218;  28;  41;  30;  22;  21;  17;  21;  28;  48;  26;  33;  25;  29;  18;  17;  15;  7;  2;  1;  200;  170;  15;  44;  0;  0;  0
1131; 1 934; 1 316;  618;  962;  972;  87;  115;  109;  109;  120;  123;  111;  138;  132;  135;  159;  168;  114;  86;  76;  63;  40;  30;  19;  907;  757;  64;  203;  0;  2;  0
1132;  826;  687;  139;  420;  406;  39;  63;  57;  56;  45;  43;  31;  54;  52;  58;  67;  56;  55;  44;  31;  40;  21;  9;  5;  390;  348;  29;  58;  0;  0;  1
1134; 1 257; 1 018;  239;  646;  611;  55;  79;  76;  97;  84;  48;  51;  70;  100;  102;  113;  94;  65;  75;  47;  40;  39;  16;  6;  569;  574;  34;  80;  0;  0;  0
1135;  742;  595;  147;  359;  383;  23;  40;  40;  35;  48;  32;  65;  33;  43;  45;  51;  61;  74;  47;  36;  25;  19;  11;  14;  315;  330;  23;  72;  0;  2;  0
1136;  420;  347;  73;  211;  209;  24;  21;  18;  16;  39;  20;  19;  43;  16;  31;  32;  35;  20;  25;  27;  17;  10;  6;  1;  190;  187;  11;  32;  0;  0;  0
1141;  278;  239;  39;  140;  138;  24;  17;  18;  5;  26;  22;  19;  29;  16;  18;  16;  19;  21;  9;  6;  5;  5;  3;  0;  142;  109;  6;  21;  0;  0;  0
1142; 1 289; 1 049;  240;  648;  641;  78;  74;  74;  65;  67;  96;  84;  107;  89;  87;  92;  111;  80;  54;  52;  45;  16;  12;  6;  621;  506;  44;  118;  0;  0;  0
1143; 1 498; 1 201;  297;  698;  800;  73;  102;  99;  84;  85;  53;  72;  95;  115;  124;  102;  89;  88;  80;  53;  66;  58;  29;  31;  683;  581;  96;  138;  0;  0;  0
1144;  579;  464;  115;  286;  293;  33;  35;  23;  37;  42;  37;  33;  43;  34;  30;  47;  37;  30;  37;  19;  30;  13;  12;  7;  264;  251;  22;  42;  0;  0;  0
1145; 1 668; 1 109;  559;  843;  825;  71;  83;  109;  81;  107;  94;  113;  129;  121;  126;  133;  98;  107;  71;  69;  67;  42;  31;  16;  749;  672;  80;  163;  0;  1;  2
1146;  324;  267;  57;  176;  148;  18;  16;  6;  10;  21;  16;  32;  21;  26;  16;  20;  33;  40;  14;  10;  11;  7;  5;  2;  142;  137;  14;  31;  0;  0;  0
1147;  943;  779;  164;  463;  480;  46;  33;  52;  48;  51;  60;  56;  63;  73;  73;  70;  86;  58;  50;  42;  44;  24;  10;  4;  406;  418;  36;  82;  0;  0;  1
1148; 2 884; 2 488;  396; 1 475; 1 409;  186;  175;  166;  154;  118;  135;  169;  234;  211;  187;  196;  215;  203;  168;  146;  114;  57;  33;  17; 1 343; 1 200;  97;  240;  1;  2;  1
1149;  308;  263;  45;  156;  152;  20;  21;  13;  19;  20;  16;  18;  18;  20;  25;  21;  22;  24;  17;  11;  9;  7;  6;  1;  144;  126;  17;  21;  0;  0;  0
1162; 5 875; 3 735; 2 140; 2 863; 3 012;  288;  304;  350;  384;  332;  296;  333;  399;  431;  502;  481;  469;  324;  283;  224;  234;  127;  82;  32; 2 796; 2 287;  213;  569;  0;  6;  4
1163; 2 962; 2 083;  879; 1 464; 1 498;  115;  131;  156;  209;  195;  171;  164;  154;  201;  241;  233;  299;  224;  117;  86;  115;  77;  40;  34; 1 393; 1 146;  134;  283;  0;  5;  1
1164;  686;  520;  166;  335;  351;  13;  55;  48;  40;  40;  20;  22;  37;  64;  41;  61;  53;  42;  42;  28;  37;  24;  11;  8;  289;  316;  25;  54;  0;  2;  0
1165;  430;  311;  119;  211;  219;  21;  14;  17;  28;  20;  33;  29;  35;  24;  30;  32;  44;  28;  18;  17;  22;  8;  5;  5;  205;  178;  18;  27;  0;  2;  0
1166; 1 586; 1 108;  478;  796;  790;  74;  67;  89;  100;  91;  102;  104;  95;  110;  114;  137;  134;  106;  66;  61;  68;  53;  12;  3;  735;  660;  50;  141;  0;  0;  0
1167;  719;  599;  120;  338;  381;  41;  48;  55;  54;  35;  20;  30;  41;  49;  59;  56;  54;  26;  37;  29;  27;  21;  23;  14;  323;  295;  47;  52;  0;  2;  0
1168;  602;  492;  110;  295;  307;  29;  33;  38;  32;  32;  35;  38;  38;  45;  38;  52;  52;  44;  34;  21;  13;  19;  7;  2;  284;  247;  13;  56;  0;  2;  0
1169; 1 498; 1 164;  334;  772;  726;  70;  85;  111;  98;  83;  53;  68;  73;  131;  119;  133;  112;  99;  63;  60;  72;  39;  18;  11;  686;  642;  56;  113;  0;  0;  1
